datetime,price,price,price,price,load,load,load,load
,mean,min,max,std,mean,min,max,std
,,,,,,,,
6/1/2023 0:00,19.831099,19.831099,19.831099,,78288,78288,78288,
6/1/2023 1:00,18.7715975,17.712096,19.831099,1.498361391,76376,74464,78288,2703.976331
6/1/2023 2:00,17.85527467,16.022629,19.831099,1.90826781,74912.33333,71985,78288,3175.327437
6/1/2023 3:00,17.21365375,15.288791,19.831099,2.01850612,73829,70579,78288,3378.793769
6/1/2023 4:00,16.994623,15.288791,19.831099,1.815391849,73217,70579,78288,3230.310434
6/1/2023 5:00,17.240256,15.288791,19.831099,1.73162683,73279.33333,70579,78288,2893.309017
6/1/2023 6:00,17.95159943,15.288791,22.21966,2.457812553,74039.85714,70579,78603,3320.362351
6/1/2023 7:00,18.6456275,15.288791,23.503824,3.005206274,75175.75,70579,83127,4446.555352
6/1/2023 8:00,19.55492711,15.288791,26.829324,3.917114844,76433.33333,70579,86494,5615.515582
6/1/2023 9:00,20.7132466,15.288791,31.138122,5.201534742,77770.7,70579,89807,6776.1148
6/1/2023 10:00,21.865447,15.288791,33.387451,6.241281173,79206.81818,70579,93568,8000.684243
6/1/2023 11:00,23.2709735,15.288791,38.731765,7.688849854,80745.91667,70579,97676,9306.860963
6/1/2023 12:00,25.01565746,15.288791,45.951865,9.683122707,82340.53846,70579,101476,10604.53513
6/1/2023 13:00,26.7910945,15.288791,49.871776,11.43157079,83992.07143,70579,105462,11916.0206
6/1/2023 14:00,28.76513347,15.288791,56.401679,13.40891177,85664.06667,70579,109072,13182.671
6/1/2023 15:00,30.85762269,15.288791,62.244961,15.42298605,87318.0625,70579,112128,14351.60372
6/1/2023 16:00,33.38274076,15.288791,73.78463,18.20432585,88945.88235,70579,114991,15431.85191
6/1/2023 17:00,36.10354067,15.288791,82.357139,21.09865039,90461.16667,70579,116221,16293.04315
6/1/2023 18:00,37.74823842,15.288791,82.357139,21.72136982,91755.84211,70579,116221,16809.60445
6/1/2023 19:00,38.5974083,15.288791,82.357139,21.48039047,92755.4,70579,116221,16960.93733
6/1/2023 20:00,38.85820257,15.288791,82.357139,20.97057708,93508.04762,70579,116221,16887.44423
6/1/2023 21:00,38.84456855,15.288791,82.357139,20.46528761,93979.5,70579,116221,16628.15021
6/1/2023 22:00,38.50612574,15.288791,82.357139,20.06052995,94088.73913,70579,116221,16254.28777
6/1/2023 23:00,38.07752983,15.288791,82.357139,19.73161919,93872.75,70579,116221,15932.18329
6/2/2023 0:00,37.47316688,15.288791,82.357139,19.55110722,93390.4,70579,116221,15782.09639
6/2/2023 1:00,36.80483977,15.288791,82.357139,19.45685358,92772.76923,70579,116221,15780.67634
6/2/2023 2:00,36.08239215,15.288791,82.357139,19.44481742,92086.66667,70579,116221,15879.59603
6/2/2023 3:00,35.34042668,15.288791,82.357139,19.48105602,91384.35714,70579,116221,16019.76702
6/2/2023 4:00,34.65731534,15.288791,82.357139,19.48050697,90725.37931,70579,116221,16126.39994
6/2/2023 5:00,34.10850023,15.288791,82.357139,19.37627997,90189.8,70579,116221,16115.16423
6/2/2023 6:00,33.70755223,15.288791,82.357139,19.18095643,89837.06452,70579,116221,15965.55645
6/2/2023 7:00,33.36003244,15.288791,82.357139,18.97118063,89643.4375,70579,116221,15744.08366
6/2/2023 8:00,33.12271982,15.288791,82.357139,18.72210223,89599.60606,70579,116221,15498.17535
6/2/2023 9:00,32.95333447,15.288791,82.357139,18.4626891,89702.17647,70579,116221,15273.26271
6/2/2023 10:00,32.92950794,15.288791,82.357139,18.18969884,89960.25714,70579,116221,15124.24522
