Time,Area,Load
6/1/2023 0:00,MIDATL,23447
6/1/2023 0:00,MIDATL,23583
6/1/2023 0:00,MIDATL,23583
6/1/2023 0:00,MIDATL,23583
6/1/2023 0:00,MIDATL,23583
6/1/2023 1:00,MIDATL,22382
6/1/2023 1:00,MIDATL,22484
6/1/2023 1:00,MIDATL,22484
6/1/2023 1:00,MIDATL,22484
6/1/2023 1:00,MIDATL,22484
6/1/2023 2:00,MIDATL,21766
6/1/2023 2:00,MIDATL,21827
6/1/2023 2:00,MIDATL,21827
6/1/2023 2:00,MIDATL,21827
6/1/2023 2:00,MIDATL,21827
6/1/2023 3:00,MIDATL,21491
6/1/2023 3:00,MIDATL,21529
6/1/2023 3:00,MIDATL,21529
6/1/2023 3:00,MIDATL,21529
6/1/2023 3:00,MIDATL,21529
6/1/2023 4:00,MIDATL,21775
6/1/2023 4:00,MIDATL,21787
6/1/2023 4:00,MIDATL,21787
6/1/2023 4:00,MIDATL,21787
6/1/2023 4:00,MIDATL,21787
6/1/2023 4:00,MIDATL,21666
6/1/2023 5:00,MIDATL,22998
6/1/2023 5:00,MIDATL,22997
6/1/2023 5:00,MIDATL,22997
6/1/2023 5:00,MIDATL,22997
6/1/2023 5:00,MIDATL,22997
6/1/2023 5:00,MIDATL,22997
6/1/2023 6:00,MIDATL,24900
6/1/2023 6:00,MIDATL,24886
6/1/2023 6:00,MIDATL,24886
6/1/2023 6:00,MIDATL,25117
6/1/2023 6:00,MIDATL,25117
6/1/2023 6:00,MIDATL,25117
6/1/2023 7:00,MIDATL,26678
6/1/2023 7:00,MIDATL,26346
6/1/2023 7:00,MIDATL,26346
6/1/2023 7:00,MIDATL,26530
6/1/2023 7:00,MIDATL,26530
6/1/2023 7:00,MIDATL,26530
6/1/2023 8:00,MIDATL,27514
6/1/2023 8:00,MIDATL,27376
6/1/2023 8:00,MIDATL,27192
6/1/2023 8:00,MIDATL,27284
6/1/2023 8:00,MIDATL,27284
6/1/2023 8:00,MIDATL,27332
6/1/2023 8:00,MIDATL,27284
6/1/2023 9:00,MIDATL,28077
6/1/2023 9:00,MIDATL,28121
6/1/2023 9:00,MIDATL,27937
6/1/2023 9:00,MIDATL,28075
6/1/2023 9:00,MIDATL,28075
6/1/2023 9:00,MIDATL,28075
6/1/2023 9:00,MIDATL,28075
6/1/2023 10:00,MIDATL,28725
6/1/2023 10:00,MIDATL,28822
6/1/2023 10:00,MIDATL,28684
6/1/2023 10:00,MIDATL,28868
6/1/2023 10:00,MIDATL,28868
6/1/2023 10:00,MIDATL,28573
6/1/2023 10:00,MIDATL,28974
6/1/2023 10:00,MIDATL,28868
6/1/2023 11:00,MIDATL,29601
6/1/2023 11:00,MIDATL,29990
6/1/2023 11:00,MIDATL,29806
6/1/2023 11:00,MIDATL,29806
6/1/2023 11:00,MIDATL,29806
6/1/2023 11:00,MIDATL,30019
6/1/2023 11:00,MIDATL,30018
6/1/2023 11:00,MIDATL,29806
6/1/2023 12:00,MIDATL,30295
6/1/2023 12:00,MIDATL,31032
6/1/2023 12:00,MIDATL,30848
6/1/2023 12:00,MIDATL,30848
6/1/2023 12:00,MIDATL,30848
6/1/2023 12:00,MIDATL,31431
6/1/2023 12:00,MIDATL,31431
6/1/2023 12:00,MIDATL,30848
6/1/2023 13:00,MIDATL,31375
6/1/2023 13:00,MIDATL,32367
6/1/2023 13:00,MIDATL,32183
6/1/2023 13:00,MIDATL,32183
6/1/2023 13:00,MIDATL,32183
6/1/2023 13:00,MIDATL,32772
6/1/2023 13:00,MIDATL,32607
6/1/2023 13:00,MIDATL,32183
6/1/2023 14:00,MIDATL,32591
6/1/2023 14:00,MIDATL,33756
6/1/2023 14:00,MIDATL,33572
6/1/2023 14:00,MIDATL,33572
6/1/2023 14:00,MIDATL,33572
6/1/2023 14:00,MIDATL,34168
6/1/2023 14:00,MIDATL,33784
6/1/2023 14:00,MIDATL,33572
6/1/2023 15:00,MIDATL,33944
6/1/2023 15:00,MIDATL,35075
6/1/2023 15:00,MIDATL,35075
6/1/2023 15:00,MIDATL,35075
6/1/2023 15:00,MIDATL,35075
6/1/2023 15:00,MIDATL,35564
6/1/2023 15:00,MIDATL,35234
6/1/2023 15:00,MIDATL,35075
6/1/2023 16:00,MIDATL,35369
6/1/2023 16:00,MIDATL,36672
6/1/2023 16:00,MIDATL,36949
6/1/2023 16:00,MIDATL,36672
6/1/2023 16:00,MIDATL,36672
6/1/2023 16:00,MIDATL,36955
6/1/2023 16:00,MIDATL,37382
6/1/2023 16:00,MIDATL,36778
6/1/2023 16:00,MIDATL,36672
6/1/2023 17:00,MIDATL,36320
6/1/2023 17:00,MIDATL,37620
6/1/2023 17:00,MIDATL,38035
6/1/2023 17:00,MIDATL,37897
6/1/2023 17:00,MIDATL,37897
6/1/2023 17:00,MIDATL,38336
6/1/2023 17:00,MIDATL,37952
6/1/2023 17:00,MIDATL,37897
6/1/2023 17:00,MIDATL,37897
6/1/2023 18:00,MIDATL,36277
6/1/2023 18:00,MIDATL,37509
6/1/2023 18:00,MIDATL,37740
6/1/2023 18:00,MIDATL,37694
6/1/2023 18:00,MIDATL,37694
6/1/2023 18:00,MIDATL,38298
6/1/2023 18:00,MIDATL,37694
6/1/2023 18:00,MIDATL,37694
6/1/2023 18:00,MIDATL,37694
6/1/2023 19:00,MIDATL,35429
6/1/2023 19:00,MIDATL,36410
6/1/2023 19:00,MIDATL,36410
6/1/2023 19:00,MIDATL,36410
6/1/2023 19:00,MIDATL,36410
6/1/2023 19:00,MIDATL,37069
6/1/2023 19:00,MIDATL,36410
6/1/2023 19:00,MIDATL,36410
6/1/2023 19:00,MIDATL,36410
6/1/2023 20:00,MIDATL,34751
6/1/2023 20:00,MIDATL,35645
6/1/2023 20:00,MIDATL,35645
6/1/2023 20:00,MIDATL,35645
6/1/2023 20:00,MIDATL,35645
6/1/2023 20:00,MIDATL,36249
6/1/2023 20:00,MIDATL,35645
6/1/2023 20:00,MIDATL,35645
6/1/2023 20:00,MIDATL,35645
6/1/2023 21:00,MIDATL,33304
6/1/2023 21:00,MIDATL,33832
6/1/2023 21:00,MIDATL,33832
6/1/2023 21:00,MIDATL,33832
6/1/2023 21:00,MIDATL,33832
6/1/2023 21:00,MIDATL,34052
6/1/2023 21:00,MIDATL,33832
6/1/2023 21:00,MIDATL,33832
6/1/2023 21:00,MIDATL,33832
6/1/2023 22:00,MIDATL,30714
6/1/2023 22:00,MIDATL,30957
6/1/2023 22:00,MIDATL,30957
6/1/2023 22:00,MIDATL,30957
6/1/2023 22:00,MIDATL,30957
6/1/2023 22:00,MIDATL,31067
6/1/2023 22:00,MIDATL,31067
6/1/2023 22:00,MIDATL,30957
6/1/2023 22:00,MIDATL,30957
6/1/2023 22:00,MIDATL,30957
6/1/2023 23:00,MIDATL,28149
6/1/2023 23:00,MIDATL,28322
6/1/2023 23:00,MIDATL,28322
6/1/2023 23:00,MIDATL,28322
6/1/2023 23:00,MIDATL,28322
6/1/2023 23:00,MIDATL,28487
6/1/2023 23:00,MIDATL,28487
6/1/2023 23:00,MIDATL,28322
6/1/2023 23:00,MIDATL,28322
6/1/2023 23:00,MIDATL,28322
6/2/2023 0:00,MIDATL,26080
6/2/2023 0:00,MIDATL,25866
6/2/2023 0:00,MIDATL,26120
6/2/2023 0:00,MIDATL,26120
6/2/2023 0:00,MIDATL,26120
6/2/2023 1:00,MIDATL,24642
6/2/2023 1:00,MIDATL,24455
6/2/2023 1:00,MIDATL,24658
6/2/2023 1:00,MIDATL,24658
6/2/2023 1:00,MIDATL,24658
6/2/2023 2:00,MIDATL,23626
6/2/2023 2:00,MIDATL,23463
6/2/2023 2:00,MIDATL,23666
6/2/2023 2:00,MIDATL,23666
6/2/2023 2:00,MIDATL,23666
6/2/2023 3:00,MIDATL,23096
6/2/2023 3:00,MIDATL,22949
6/2/2023 3:00,MIDATL,23152
6/2/2023 3:00,MIDATL,23152
6/2/2023 3:00,MIDATL,23152
6/2/2023 4:00,MIDATL,23167
6/2/2023 4:00,MIDATL,23036
6/2/2023 4:00,MIDATL,23188
6/2/2023 4:00,MIDATL,23391
6/2/2023 4:00,MIDATL,23391
6/2/2023 4:00,MIDATL,23123
6/2/2023 5:00,MIDATL,24159
6/2/2023 5:00,MIDATL,24022
6/2/2023 5:00,MIDATL,24123
6/2/2023 5:00,MIDATL,24326
6/2/2023 5:00,MIDATL,24326
6/2/2023 5:00,MIDATL,24326
6/2/2023 6:00,MIDATL,25988
6/2/2023 6:00,MIDATL,26270
6/2/2023 6:00,MIDATL,26270
6/2/2023 6:00,MIDATL,26574
6/2/2023 6:00,MIDATL,26574
6/2/2023 6:00,MIDATL,25976
6/2/2023 7:00,MIDATL,27601
6/2/2023 7:00,MIDATL,27856
6/2/2023 7:00,MIDATL,27957
6/2/2023 7:00,MIDATL,28211
6/2/2023 7:00,MIDATL,28211
6/2/2023 7:00,MIDATL,27613
6/2/2023 8:00,MIDATL,29025
6/2/2023 8:00,MIDATL,29256
6/2/2023 8:00,MIDATL,29510
6/2/2023 8:00,MIDATL,29510
6/2/2023 8:00,MIDATL,29510
6/2/2023 8:00,MIDATL,29501
6/2/2023 8:00,MIDATL,29099
6/2/2023 9:00,MIDATL,30478
6/2/2023 9:00,MIDATL,30672
6/2/2023 9:00,MIDATL,30875
6/2/2023 9:00,MIDATL,31179
6/2/2023 9:00,MIDATL,31179
6/2/2023 9:00,MIDATL,30938
6/2/2023 9:00,MIDATL,30656
6/2/2023 10:00,MIDATL,32176
6/2/2023 10:00,MIDATL,32444
6/2/2023 10:00,MIDATL,32647
6/2/2023 10:00,MIDATL,32799
6/2/2023 10:00,MIDATL,32799
6/2/2023 10:00,MIDATL,32459
6/2/2023 10:00,MIDATL,32523
6/2/2023 10:00,MIDATL,32201
6/2/2023 11:00,MIDATL,34042
6/2/2023 11:00,MIDATL,34284
6/2/2023 11:00,MIDATL,34284
6/2/2023 11:00,MIDATL,34588
6/2/2023 11:00,MIDATL,34588
6/2/2023 11:00,MIDATL,34395
6/2/2023 11:00,MIDATL,34395
6/2/2023 11:00,MIDATL,33952
6/2/2023 12:00,MIDATL,36107
6/2/2023 12:00,MIDATL,36544
6/2/2023 12:00,MIDATL,36798
6/2/2023 12:00,MIDATL,36798
6/2/2023 12:00,MIDATL,36798
6/2/2023 12:00,MIDATL,36452
6/2/2023 12:00,MIDATL,36452
6/2/2023 12:00,MIDATL,36050
6/2/2023 13:00,MIDATL,38266
6/2/2023 13:00,MIDATL,38762
6/2/2023 13:00,MIDATL,38965
6/2/2023 13:00,MIDATL,38965
6/2/2023 13:00,MIDATL,38965
6/2/2023 13:00,MIDATL,38705
6/2/2023 13:00,MIDATL,38705
6/2/2023 13:00,MIDATL,38142
6/2/2023 14:00,MIDATL,40206
6/2/2023 14:00,MIDATL,40714
6/2/2023 14:00,MIDATL,41018
6/2/2023 14:00,MIDATL,41018
6/2/2023 14:00,MIDATL,41018
6/2/2023 14:00,MIDATL,40672
6/2/2023 14:00,MIDATL,40672
6/2/2023 14:00,MIDATL,40270
6/2/2023 15:00,MIDATL,42054
6/2/2023 15:00,MIDATL,42453
6/2/2023 15:00,MIDATL,43011
6/2/2023 15:00,MIDATL,43011
6/2/2023 15:00,MIDATL,43011
6/2/2023 15:00,MIDATL,42504
6/2/2023 15:00,MIDATL,42504
6/2/2023 15:00,MIDATL,42263
6/2/2023 16:00,MIDATL,43459
6/2/2023 16:00,MIDATL,43909
6/2/2023 16:00,MIDATL,44517
6/2/2023 16:00,MIDATL,44618
6/2/2023 16:00,MIDATL,44618
6/2/2023 16:00,MIDATL,42858
6/2/2023 16:00,MIDATL,44169
6/2/2023 16:00,MIDATL,44169
6/2/2023 16:00,MIDATL,44169
6/2/2023 17:00,MIDATL,43684
6/2/2023 17:00,MIDATL,44051
6/2/2023 17:00,MIDATL,44913
6/2/2023 17:00,MIDATL,45217
6/2/2023 17:00,MIDATL,45217
6/2/2023 17:00,MIDATL,44107
6/2/2023 17:00,MIDATL,44469
6/2/2023 17:00,MIDATL,44469
6/2/2023 17:00,MIDATL,44469
6/2/2023 18:00,MIDATL,42481
6/2/2023 18:00,MIDATL,42740
6/2/2023 18:00,MIDATL,43247
6/2/2023 18:00,MIDATL,44007
6/2/2023 18:00,MIDATL,44007
6/2/2023 18:00,MIDATL,42403
6/2/2023 18:00,MIDATL,43409
