Time,Load
6/1/2023 0:00,23447
6/1/2023 0:00,23583
6/1/2023 0:00,23583
6/1/2023 0:00,23583
6/1/2023 0:00,23583
6/1/2023 1:00,22382
6/1/2023 1:00,22484
6/1/2023 1:00,22484
6/1/2023 1:00,22484
6/1/2023 1:00,22484
6/1/2023 2:00,21766
6/1/2023 2:00,21827
6/1/2023 2:00,21827
6/1/2023 2:00,21827
6/1/2023 2:00,21827
6/1/2023 3:00,21491
6/1/2023 3:00,21529
6/1/2023 3:00,21529
6/1/2023 3:00,21529
6/1/2023 3:00,21529
6/1/2023 4:00,21775
6/1/2023 4:00,21787
6/1/2023 4:00,21787
6/1/2023 4:00,21787
6/1/2023 4:00,21787
6/1/2023 4:00,21666
6/1/2023 5:00,22998
6/1/2023 5:00,22997
6/1/2023 5:00,22997
6/1/2023 5:00,22997
6/1/2023 5:00,22997
6/1/2023 5:00,22997
6/1/2023 6:00,24900
6/1/2023 6:00,24886
6/1/2023 6:00,24886
6/1/2023 6:00,25117
6/1/2023 6:00,25117
6/1/2023 6:00,25117
6/1/2023 7:00,26678
6/1/2023 7:00,26346
6/1/2023 7:00,26346
6/1/2023 7:00,26530
6/1/2023 7:00,26530
6/1/2023 7:00,26530
6/1/2023 8:00,27514
6/1/2023 8:00,27376
6/1/2023 8:00,27192
6/1/2023 8:00,27284
6/1/2023 8:00,27284
6/1/2023 8:00,27332
6/1/2023 8:00,27284
6/1/2023 9:00,28077
6/1/2023 9:00,28121
6/1/2023 9:00,27937
6/1/2023 9:00,28075
6/1/2023 9:00,28075
6/1/2023 9:00,28075
6/1/2023 9:00,28075
6/1/2023 10:00,28725
6/1/2023 10:00,28822
6/1/2023 10:00,28684
6/1/2023 10:00,28868
6/1/2023 10:00,28868
6/1/2023 10:00,28573
6/1/2023 10:00,28974
6/1/2023 10:00,28868
6/1/2023 11:00,29601
6/1/2023 11:00,29990
6/1/2023 11:00,29806
6/1/2023 11:00,29806
6/1/2023 11:00,29806
6/1/2023 11:00,30019
6/1/2023 11:00,30018
6/1/2023 11:00,29806
6/1/2023 12:00,30295
6/1/2023 12:00,31032
6/1/2023 12:00,30848
6/1/2023 12:00,30848
6/1/2023 12:00,30848
6/1/2023 12:00,31431
6/1/2023 12:00,31431
6/1/2023 12:00,30848
6/1/2023 13:00,31375
6/1/2023 13:00,32367
6/1/2023 13:00,32183
6/1/2023 13:00,32183
6/1/2023 13:00,32183
6/1/2023 13:00,32772
6/1/2023 13:00,32607
