The data below is the seven day hourly temperature forecast. It is in CSV format and contains datetime, temperature in degrees F and the weather forecast. Analyze the data using average, minumum, maximum, and standard deviation to give insights into the near-term behavior of the weather. The data follows:2024-04-16T20:00:00-04:00,67,Mostly Clear
2024-04-16T21:00:00-04:00,64,Mostly Clear
2024-04-16T22:00:00-04:00,60,Mostly Clear
2024-04-16T23:00:00-04:00,57,Mostly Clear
2024-04-17T00:00:00-04:00,56,Mostly Clear
2024-04-17T01:00:00-04:00,54,Mostly Clear
2024-04-17T02:00:00-04:00,53,Mostly Clear
2024-04-17T03:00:00-04:00,52,Mostly Clear
2024-04-17T04:00:00-04:00,51,Partly Cloudy
2024-04-17T05:00:00-04:00,51,Partly Cloudy
2024-04-17T06:00:00-04:00,51,Mostly Sunny
2024-04-17T07:00:00-04:00,52,Partly Sunny
2024-04-17T08:00:00-04:00,53,Partly Sunny
2024-04-17T09:00:00-04:00,56,Mostly Cloudy
2024-04-17T10:00:00-04:00,60,Slight Chance Rain Showers
2024-04-17T11:00:00-04:00,63,Slight Chance Rain Showers
2024-04-17T12:00:00-04:00,64,Chance Rain Showers
2024-04-17T13:00:00-04:00,65,Chance Rain Showers
2024-04-17T14:00:00-04:00,66,Rain Showers Likely
2024-04-17T15:00:00-04:00,64,Rain Showers Likely
2024-04-17T16:00:00-04:00,63,Rain Showers Likely
2024-04-17T17:00:00-04:00,61,Chance Rain Showers
2024-04-17T18:00:00-04:00,59,Chance Rain Showers
2024-04-17T19:00:00-04:00,57,Chance Rain Showers
2024-04-17T20:00:00-04:00,55,Showers And Thunderstorms
2024-04-17T21:00:00-04:00,54,Showers And Thunderstorms
2024-04-17T22:00:00-04:00,54,Showers And Thunderstorms
2024-04-17T23:00:00-04:00,52,Showers And Thunderstorms
2024-04-18T00:00:00-04:00,52,Showers And Thunderstorms
2024-04-18T01:00:00-04:00,52,Showers And Thunderstorms
2024-04-18T02:00:00-04:00,52,Showers And Thunderstorms Likely
